age,n,group
16,352,top
17,360,top
18,370,top
19,382,top
20,389,top
21,397,top
22,408,top
23,412,top
24,412,top
25,412,top
26,412,top
27,412,top
28,412,top
29,412,top
30,412,top
31,412,top
32,412,top
33,412,top
34,412,top
35,412,top
36,412,top
37,412,top
38,412,top
39,412,top
40,412,top
41,412,top
42,412,top
43,412,top
44,412,top
45,412,top
46,412,top
47,412,top
48,412,top
49,412,top
50,412,top
0,7,bottom
1,13,bottom
2,18,bottom
3,20,bottom
4,23,bottom
5,26,bottom
6,28,bottom
7,29,bottom
8,33,bottom
9,38,bottom
10,43,bottom
11,48,bottom
12,49,bottom
13,52,bottom
14,56,bottom
15,59,bottom
16,71,bottom
17,85,bottom
18,94,bottom
19,104,bottom
20,107,bottom
21,109,bottom
22,111,bottom
23,112,bottom
24,113,bottom
25,114,bottom
26,114,bottom
27,114,bottom
28,114,bottom
29,114,bottom
30,114,bottom
31,114,bottom
32,114,bottom
33,114,bottom
34,114,bottom
35,114,bottom
36,114,bottom
37,114,bottom
38,114,bottom
39,114,bottom
40,114,bottom
41,114,bottom
42,114,bottom
43,114,bottom
44,114,bottom
45,114,bottom
46,114,bottom
47,114,bottom
48,114,bottom
49,114,bottom
50,114,bottom
0,4,bottom
1,9,bottom
2,12,bottom
3,17,bottom
4,26,bottom
5,30,bottom
6,35,bottom
7,38,bottom
8,42,bottom
9,46,bottom
10,51,bottom
11,58,bottom
12,61,bottom
13,67,bottom
14,74,bottom
15,82,bottom
16,91,bottom
17,101,bottom
18,114,bottom
19,124,bottom
20,135,bottom
21,141,bottom
22,145,bottom
23,150,bottom
24,154,bottom
25,157,bottom
26,157,bottom
27,157,bottom
28,157,bottom
29,157,bottom
30,157,bottom
31,157,bottom
32,157,bottom
33,157,bottom
34,157,bottom
35,157,bottom
36,157,bottom
37,157,bottom
38,157,bottom
39,157,bottom
40,157,bottom
41,157,bottom
42,157,bottom
43,157,bottom
44,157,bottom
45,157,bottom
46,157,bottom
47,157,bottom
48,157,bottom
49,157,bottom
50,157,bottom
0,5,top
1,25,top
2,42,top
3,65,top
4,85,top
5,108,top
6,124,top
7,171,top
8,220,top
9,277,top
10,327,top
11,365,top
12,405,top
13,441,top
14,471,top
15,511,top
16,551,top
17,582,top
18,611,top
19,648,top
20,681,top
21,711,top
22,742,top
23,778,top
24,823,top
25,854,top
26,882,top
27,910,top
28,937,top
29,966,top
30,1001,top
31,1038,top
32,1059,top
33,1066,top
34,1070,top
35,1082,top
36,1093,top
37,1101,top
38,1102,top
39,1102,top
40,1102,top
41,1102,top
42,1102,top
43,1102,top
44,1102,top
45,1102,top
46,1102,top
47,1102,top
48,1102,top
49,1102,top
50,1102,top
0,3,top
1,83,top
2,167,top
3,249,top
4,341,top
5,426,top
6,505,top
7,585,top
8,662,top
9,757,top
10,833,top
11,918,top
12,1025,top
13,1130,top
14,1223,top
15,1333,top
16,1425,top
17,1513,top
18,1606,top
19,1689,top
20,1786,top
21,1880,top
22,1969,top
23,2078,top
24,2154,top
25,2255,top
26,2344,top
27,2430,top
28,2498,top
29,2571,top
30,2650,top
31,2735,top
32,2831,top
33,2929,top
34,3032,top
35,3126,top
36,3186,top
37,3186,top
38,3186,top
39,3186,top
40,3186,top
41,3186,top
42,3186,top
43,3186,top
44,3186,top
45,3186,top
46,3186,top
47,3186,top
48,3186,top
49,3186,top
50,3186,top
0,5,middle
1,25,middle
2,37,middle
3,53,middle
4,64,middle
5,78,middle
6,87,middle
7,97,middle
8,104,middle
9,117,middle
10,127,middle
11,139,middle
12,151,middle
13,156,middle
14,163,middle
15,175,middle
16,182,middle
17,189,middle
18,194,middle
19,195,middle
20,197,middle
21,197,middle
22,197,middle
23,199,middle
24,199,middle
25,200,middle
26,200,middle
27,202,middle
28,202,middle
29,203,middle
30,204,middle
31,205,middle
32,205,middle
33,207,middle
34,209,middle
35,209,middle
36,210,middle
37,211,middle
38,211,middle
39,211,middle
40,211,middle
41,211,middle
42,211,middle
43,211,middle
44,211,middle
45,211,middle
46,211,middle
47,211,middle
48,211,middle
49,211,middle
50,211,middle
0,5,middle
1,55,middle
2,100,middle
3,129,middle
4,148,middle
5,170,middle
6,226,middle
7,262,middle
8,286,middle
9,304,middle
10,314,middle
11,335,middle
12,364,middle
13,387,middle
14,405,middle
15,423,middle
16,436,middle
17,446,middle
18,456,middle
19,467,middle
20,493,middle
21,500,middle
22,508,middle
23,510,middle
24,515,middle
25,523,middle
26,533,middle
27,539,middle
28,551,middle
29,559,middle
30,577,middle
31,581,middle
32,581,middle
33,581,middle
34,581,middle
35,581,middle
36,581,middle
37,581,middle
38,581,middle
39,581,middle
40,581,middle
41,581,middle
42,581,middle
43,581,middle
44,581,middle
45,581,middle
46,581,middle
47,581,middle
48,581,middle
49,581,middle
50,581,middle
0,3,middle
1,38,middle
2,91,middle
3,122,middle
4,141,middle
5,160,middle
6,184,middle
7,198,middle
8,207,middle
9,225,middle
10,232,middle
11,237,middle
12,239,middle
13,245,middle
14,248,middle
15,253,middle
16,260,middle
17,267,middle
18,273,middle
19,280,middle
20,289,middle
21,293,middle
22,293,middle
23,293,middle
24,293,middle
25,293,middle
26,293,middle
27,293,middle
28,293,middle
29,293,middle
30,293,middle
31,293,middle
32,293,middle
33,293,middle
34,293,middle
35,293,middle
36,293,middle
37,293,middle
38,293,middle
39,293,middle
40,293,middle
41,293,middle
42,293,middle
43,293,middle
44,293,middle
45,293,middle
46,293,middle
47,293,middle
48,293,middle
49,293,middle
50,293,middle
0,1,middle
1,4,middle
2,5,middle
3,7,middle
4,8,middle
5,12,middle
6,39,middle
7,73,middle
8,126,middle
9,204,middle
10,259,middle
11,405,middle
